"sppid","species","scinam","tsnid","AOU","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest"
"AlderFlycatcher","Alder Flycatcher","Empidonax alnorum","99002622","ALFL",4387,TRUE,TRUE,7237,2353,4387,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanAvocet","American Avocet","Recurvirostra americana","99003397","AMAV",276,TRUE,TRUE,96,390,276,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"AmericanBittern","American Bittern","Botaurus lentiginosus","99003057","AMBI",298,TRUE,TRUE,295,198,298,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanCoot","American Coot","Fulica americana","176292","AMCO",1276,TRUE,TRUE,1331,1906,1276,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanCrow","American Crow","Corvus brachyrhynchos","179731","AMCR",7124,TRUE,TRUE,14641,18029,7124,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanGoldfinch","American Goldfinch","Spinus tristis","99001435","AMGO",2586,TRUE,TRUE,2699,3200,2586,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanGoldenPlover","American Golden-Plover","Pluvialis dominica","99003102","AMGP",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"AmericanKestrel","American Kestrel","Falco sparverius","175622","AMKE",524,TRUE,TRUE,551,472,524,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanPipit","American Pipit","Anthus rubescens","554127","AMPI",11,FALSE,FALSE,0,0,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"AmericanRedstart","American Redstart","Setophaga ruticilla","178979","AMRE",2350,TRUE,TRUE,3443,294,2350,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"AmericanRobin","American Robin","Turdus migratorius","179759","AMRO",8998,TRUE,TRUE,19837,13008,8998,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
