"sppid","species","scinam","tsnid","AOU","family","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest","singing"
"AlderFlycatcher","Alder Flycatcher","Empidonax alnorum","99002622","ALFL","Tyrannidae",4387,TRUE,TRUE,7237,2353,4387,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"AmericanAvocet","American Avocet","Recurvirostra americana","99003397","AMAV","Recurvirostridae",276,TRUE,TRUE,96,390,276,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,FALSE
"AmericanBittern","American Bittern","Botaurus lentiginosus","99003057","AMBI","Ardeidae",298,TRUE,TRUE,295,198,298,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"AmericanCoot","American Coot","Fulica americana","176292","AMCO","Rallidae",1276,TRUE,TRUE,1331,1906,1276,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"AmericanCrow","American Crow","Corvus brachyrhynchos","179731","AMCR","Corvidae",7124,TRUE,TRUE,14641,18029,7124,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"AmericanGoldfinch","American Goldfinch","Spinus tristis","99001435","AMGO","Fringillidae",2586,TRUE,TRUE,2699,3200,2586,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"AmericanGoldenPlover","American Golden-Plover","Pluvialis dominica","99003102","AMGP","Charadriidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"AmericanKestrel","American Kestrel","Falco sparverius","175622","AMKE","Falconidae",524,TRUE,TRUE,551,472,524,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"AmericanPipit","American Pipit","Anthus rubescens","554127","AMPI","Motacillidae",11,FALSE,FALSE,0,0,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"AmericanRedstart","American Redstart","Setophaga ruticilla","178979","AMRE","Parulidae",2350,TRUE,TRUE,3443,294,2350,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"AmericanRobin","American Robin","Turdus migratorius","179759","AMRO","Turdidae",8998,TRUE,TRUE,19837,13008,8998,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"AmericanWigeon","American Wigeon","Anas americana","175094","AMWI","Anatidae",1016,TRUE,TRUE,612,1121,1016,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"AmericanTreeSparrow","American Tree Sparrow","Spizella arborea","179432","ATSP","Emberizidae",22,FALSE,FALSE,0,0,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"AmericanThreetoedWoodpecker","American Three-toed Woodpecker","Picoides dorsalis","685725","ATTW","Picidae",194,TRUE,FALSE,210,0,194,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"AmericanWhitePelican","American White Pelican","Pelecanus erythrorhynchos","99003381","AWPE","Pelecanidae",108,TRUE,TRUE,96,153,108,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,FALSE
"BarredOwl","Barred Owl","Strix varia","99003067","BADO","Strigidae",110,TRUE,FALSE,123,0,110,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE
"BaldEagle","Bald Eagle","Haliaeetus leucocephalus","99003402","BAEA","Accipitridae",33,TRUE,FALSE,33,0,33,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE
"BarrowsGoldeneye","Barrow's Goldeneye","Bucephala islandica","175144","BAGO","Anatidae",27,FALSE,FALSE,0,0,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"BairdsSparrow","Baird's Sparrow","Ammodramus bairdii","179339","BAIS","Emberizidae",1292,TRUE,TRUE,42,2187,1292,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE
"BarnOwl","Barn Owl","Tyto alba","99003060","BANO","Tytonidae",3,FALSE,FALSE,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"BankSwallow","Bank Swallow","Riparia riparia","99002652","BANS","Hirundinidae",323,TRUE,TRUE,209,289,323,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BaltimoreOriole","Baltimore Oriole","Icterus galbula","179083","BAOR","Icteridae",1444,TRUE,TRUE,1979,2229,1444,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"BarnSwallow","Barn Swallow","Hirundo rustica","99002653","BARS","Hirundinidae",2007,TRUE,TRUE,1982,3058,2007,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BlackAndWhiteWarbler","Black-and-white Warbler","Mniotilta varia","178844","BAWW","Parulidae",1953,TRUE,TRUE,2345,134,1953,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BlackbilledMagpie","Black-billed Magpie","Pica hudsonia","726117","BBMA","Corvidae",4692,TRUE,TRUE,8130,11724,4692,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BaybreastedWarbler","Bay-breasted Warbler","Setophaga castanea","99001404","BBWA","Parulidae",1168,TRUE,FALSE,1330,0,1168,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"BlackbackedWoodpecker","Black-backed Woodpecker","Picoides arcticus","178250","BBWO","Picidae",128,TRUE,FALSE,130,0,128,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"BlackcappedChickadee","Black-capped Chickadee","Poecile atricapillus","554382","BCCH","Paridae",3274,TRUE,TRUE,4309,1861,3274,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BlackcrownedNightHeron","Black-crowned Night-Heron","Nycticorax nycticorax","99003082","BCNH","Ardeidae",33,FALSE,TRUE,0,33,33,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE
"BeltedKingfisher","Belted Kingfisher","Megaceryle alcyon","178106","BEKI","Alcedinidae",91,TRUE,FALSE,92,0,91,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE
"BrownheadedCowbird","Brown-headed Cowbird","Molothrus ater","179112","BHCO","Icteridae",6328,TRUE,TRUE,5174,10923,6328,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"BlackheadedGrosbeak","Black-headed Grosbeak","Pheucticus melanocephalus","179140","BHGR","Cardinalidae",21,FALSE,FALSE,0,0,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
"BlueheadedVireo","Blue-headed Vireo","Vireo solitarius","179010","BHVI","Vireonidae",2022,TRUE,TRUE,2726,358,2022,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
