sppid,species,scinam,rank,ndet,nsite,map.det,useavail.north,veghf.north,useavail.south,soilhf.south,map.pred,comments
ADecidlt7,Live Deciduous <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
ADecid7_25,Live Deciduous 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
ADecidgt25,Live Deciduous >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
AUpConlt7,Live Upland Conifer <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
AUpCon7_25,Live Upland Conifer 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
AUpCongt25,Live Upland Conifer >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
ALowConlt7,Live Lowland Conifer <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
ALowCon7_25,Live Lowland Conifer 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
ALowCongt25,Live Lowland Conifer >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DDecidlt7,Dead Deciduous <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DDecid7_25,Dead Deciduous 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DDecidgt25,Dead Deciduous >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DConlt7,Dead Conifer <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DCon7_25,Dead Conifer 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DCongt25,Dead Conifer >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DUnklt7,Dead Unknown <7cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DUnk7_25,Dead Unknown 7-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DUnkgt25,Dead Unknown >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DWD7_13,DWD 7-13cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DWD13_19,DWD 13-19cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DWD19_25,DWD 19-25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
DWDgt25,DWD >25cm,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
CanopyClosure,Canopy Closure,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
GrassCover,Grass Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Lichen,Lichen Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Litter,Litter Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Moss,Moss Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
OtherVascular,Other Vascular Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Rock,Rock Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
ShrubCover,Shrub Cover,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
pcBare,Bare Ground,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
OrgDepth,Organic Depth,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
SoilCarbon,Soil Carbon,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
pH,pH,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
BAvolLiveDeciduousBA,Live Deciduous BA,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
BAvolLiveUplandConiferBA,Live Upland Conifer BA,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
BAvolLiveLowlandConiferBA,Live Lowland Conifer BA,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
BAvolAllLiveBA,All Live BA,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
BAvolSnagBA,Snag BA,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
BAvolCWDVolume,CWD Volume,NA,Habitat element,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
Grasslt10,Grass <10cm,NA,Habitat element,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
