sppid,species,scinam,tsnid,ndet,nsite,map.det,useavail.north,veghf.north,useavail.south,soilhf.south,map.pred,comments,spp_code
Alectoria.sarmentosa.ssp.sarmentosa,NA,Alectoria sarmentosa ssp. sarmentosa,98277036,47,28,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,AlectoriaSarmentosa
Arctoparmelia.centrifuga,NA,Arctoparmelia centrifuga,99002510,38,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ArctoparmeliaCentrifuga
Arctoparmelia.separata,NA,Arctoparmelia separata,99002511,14,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ArctoparmeliaSeparata
Baeomyces.rufus,NA,Baeomyces rufus,98280008,6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,BaeomycesRufus
Bryoria.capillaris,NA,Bryoria capillaris,99002217,197,118,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,BryoriaCapillaris
Bryoria.fremontii,NA,Bryoria fremontii,99002218,74,35,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,BryoriaFremontii
Bryoria.friabilis,NA,Bryoria friabilis,99004860,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,BryoriaFriabilis
Bryoria.furcellata,NA,Bryoria furcellata,99002219,548,277,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,BryoriaFurcellata
Bryoria.fuscescens.glabra.lanestris.vrangiana,NA,Bryoria fuscescens/glabra/lanestris/vrangiana,99002220,2107,830,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,BryoriaFuscescens
Bryoria.implexa,NA,Bryoria implexa,99002221,30,26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,BryoriaImplexa
Bryoria.inactiva,NA,Bryoria inactiva,99005483,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,BryoriaInactiva
Bryoria.nadvornikiana,NA,Bryoria nadvornikiana,99002223,18,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,BryoriaNadvornikiana
Bryoria.pseudofuscescens,NA,Bryoria pseudofuscescens,99002224,22,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,BryoriaPseudofuscescens
Bryoria.simplicior,NA,Bryoria simplicior,99002225,1012,445,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,BryoriaSimplicior
Calicium.abietinum,NA,Calicium abietinum,99002512,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumAbietinum
Calicium.adaequatum,NA,Calicium adaequatum,99002871,8,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumAdaequatum
Calicium.glaucellum,NA,Calicium glaucellum,99002872,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumGlaucellum
Calicium.pinastri,NA,Calicium pinastri,99002873,15,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumPinastri
Calicium.salicinum,NA,Calicium salicinum,99002874,11,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumSalicinum
Calicium.trabinellum,NA,Calicium trabinellum,99002513,30,27,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CaliciumTrabinellum
Calicium.viride,NA,Calicium viride,98281194,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CaliciumViride
Caloplaca.lobulata,NA,Caloplaca lobulata,99003170,9,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,CaloplacaLobulata
Candelaria.concolor,NA,Candelaria concolor,99002305,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CandelariaConcolor
Candelaria.pacifica,NA,Candelaria pacifica,99002875,125,89,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CandelariaPacifica
Cetraria.aculeata.muricata,NA,Cetraria aculeata/muricata,98283083,102,50,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,CetrariaAculeata
Cetraria.arenaria,NA,Cetraria arenaria,99002154,38,20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,CetrariaArenaria
Cetraria.ericetorum.ssp.reticulata,NA,Cetraria ericetorum ssp. reticulata,99002245,348,214,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CetrariaEricetorum
Cetraria.islandica.ssp.islandica,NA,Cetraria islandica ssp. islandica,99002998,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,CetrariaIslandica
Chaenotheca.chrysocephala,NA,Chaenotheca chrysocephala,99002515,10,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaChrysocephala
Chaenotheca.furfuracea,NA,Chaenotheca furfuracea,98283158,6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaFurfuracea
Chaenotheca.gracillima,NA,Chaenotheca gracillima,99003167,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaGracillima
Chaenotheca.hispidula,NA,Chaenotheca hispidula,99002879,6,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaHispidula
Chaenotheca.laevigata,NA,Chaenotheca laevigata,99002516,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaLaevigata
Chaenotheca.trichialis,NA,Chaenotheca trichialis,99003166,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecaTrichialis
Chaenothecopsis.debilis,NA,Chaenothecopsis debilis,99003153,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecopsisDebilis
Chaenothecopsis.pusilla,NA,Chaenothecopsis pusilla,99002880,15,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecopsisPusilla
Chaenothecopsis.pusiola,NA,Chaenothecopsis pusiola,99003154,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,ChaenothecopsisPusiola
Circinaria.hispida,NA,Circinaria hispida,99000232,8,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,CircinariaHispida
Cladonia.acuminata,NA,Cladonia acuminata,99002151,38,33,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,CladoniaAcuminata
Cladonia.amaurocraea,NA,Cladonia amaurocraea,99002148,121,68,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaAmaurocraea
Cladonia.arbuscula.ssp.beringiana,NA,Cladonia arbuscula ssp. beringiana,91605595,250,194,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaArbuscula
Cladonia.arbuscula.ssp.mitis,NA,Cladonia arbuscula ssp. mitis,99003000,1608,720,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaArbusculaSspMitis
Cladonia.bacilliformis,NA,Cladonia bacilliformis,99002155,484,323,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaBacilliformis
Cladonia.botrytes,NA,Cladonia botrytes,99002341,1248,636,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaBotrytes
Cladonia.carneola,NA,Cladonia carneola,99002152,136,90,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaCarneola
Cladonia.cenotea,NA,Cladonia cenotea,99002343,1224,571,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaCenotea
Cladonia.chlorophaea.grayi.merochlorophaea.novochlorophaea.pyxidata,NA,Cladonia chlorophaea/grayi/merochlorophaea/novochlorophaea/pyxidata,99002344,2046,921,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaChlorophaea
Cladonia.coccifera.borealis,NA,Cladonia coccifera/borealis,99002340,328,203,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaBorealis
Cladonia.coniocraea,NA,Cladonia coniocraea,99002345,1799,842,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaConiocraea
Cladonia.coniocraea.f.pycnotheliza,NA,Cladonia coniocraea f. pycnotheliza,99002989,38,35,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaConiocraeaFPycnotheliza
Cladonia.cornuta.ssp.cornuta,NA,Cladonia cornuta ssp. cornuta,99002149,1621,730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaCornuta
Cladonia.crispata.var.crispata,NA,Cladonia crispata var. crispata,99003012,1309,622,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaBacilliscyphusDlh
Cladonia.cristatella,NA,Cladonia cristatella,99002339,594,333,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaBellidiflora
Cladonia.cyanipes,NA,Cladonia cyanipes,99002346,530,303,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaCyanipes
Cladonia.dahliana.symphycarpa.cariosa,NA,Cladonia dahliana/symphycarpa/cariosa,99002342,454,260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaCariosa
Cladonia.decorticata,NA,Cladonia decorticata,99002347,20,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CladoniaDecorticata
Cladonia.deformis,NA,Cladonia deformis,99002157,1069,518,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaDeformis
Cladonia.digitata,NA,Cladonia digitata,99002348,15,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CladoniaDigitata
Cladonia.ecmocyna,NA,Cladonia ecmocyna,99002364,22,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CladoniaEcmocyna
Cladonia.fimbriata,NA,Cladonia fimbriata,99002349,1234,712,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaFimbriata
Cladonia.glauca,NA,Cladonia glauca,99002886,16,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CladoniaGlauca
Cladonia.gracilis.ssp.gracilis.elongata.vulnerata,NA,Cladonia gracilis ssp. gracilis/elongata/vulnerata,98284072,38,34,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaGracilisSspElongata
Cladonia.gracilis.ssp.turbinata,NA,Cladonia gracilis ssp. turbinata,99002365,1946,846,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaGracilis
Cladonia.imbricarica,NA,Cladonia imbricarica,99003053,19,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,CladoniaImbricarica
Cladonia.macilenta.var.bacillaris,NA,Cladonia macilenta var. bacillaris,99002368,1222,623,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaMacilenta
Cladonia.macrophylla,NA,Cladonia macrophylla,99002352,25,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,CladoniaMacrophylla
Cladonia.multiformis,NA,Cladonia multiformis,99002159,709,454,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaMultiformis
Cladonia.norvegica,NA,Cladonia norvegica,99002518,51,42,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaNorvegica
Cladonia.phyllophora,NA,Cladonia phyllophora,98284109,234,156,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaPhyllophora
Cladonia.pleurota,NA,Cladonia pleurota,99002354,74,62,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,CladoniaPleurota
Cladonia.pocillum.magyarica,NA,Cladonia pocillum/magyarica,99002890,449,204,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,CladoniaMagyarica
Cladonia.rangiferina.stygia,NA,Cladonia rangiferina/stygia,98283993,401,239,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,CladoniaRangiferina
