"sppid","species","scinam","rank","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments","tsnid"
"AchipteriaColeoptrata",NA,"Achipteria coleoptrata","Species",83,63,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741627
"AchipteriaSp1DEW",NA,"Achipteria sp. 1 DEW","Species",479,283,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000001
"AeroppiaSp1DEW",NA,"Aeroppia sp. 1 DEW","Species",38,26,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,99000075
"AllosuctobelbaGigantea",NA,"Allosuctobelba gigantea","Species",37,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,739974
"AllosuctobelbaSp2DEW",NA,"Allosuctobelba sp. 2 DEW","Species",80,67,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000076
"AmetroproctusOresbios",NA,"Ametroproctus oresbios","Species",5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741258
"AmetroproctusReticulatus",NA,"Ametroproctus reticulatus","Species",8,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,741263
"AnachipteriaHowardi",NA,"Anachipteria howardi","Species",250,144,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,741659
"AnachipteriaSp1DEW",NA,"Anachipteria sp. 1 DEW","Species",111,75,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000005
"AstegistesSp1DEW",NA,"Astegistes sp. 1 DEW","Species",12,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000239
"AtropacarusStriculus",NA,"Atropacarus striculus","Species",191,119,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000211
"AutognetaLongilamellata",NA,"Autogneta longilamellata","Species",3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738925
"AutognetaSp2DEW",NA,"Autogneta sp. 2 DEW","Species",6,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000077
"BanksinomaLanceolataCanadensis",NA,"Banksinoma lanceolata canadensis","Subspecies",31,27,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000187
"BanksinomaSpinifera",NA,"Banksinoma spinifera","Species",38,35,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000185
"BelbaSpADEW",NA,"Belba sp. A DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001377
"BipassalozetesIntermedius",NA,"Bipassalozetes intermedius","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741373
"CaenobelbaAlleganiensis",NA,"Caenobelba alleganiensis","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005340
"CamisiaBiurus",NA,"Camisia biurus","Species",37,36,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,736941
"CamisiaBiverrucata",NA,"Camisia biverrucata","Species",137,103,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,736942
"CamisiaHorrida",NA,"Camisia horrida","Species",5,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,736951
"CamisiaSp1DEW",NA,"Camisia sp. 1 DEW","Species",36,32,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000078
"CamisiaSpinifer",NA,"Camisia spinifer","Species",3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,736960
"CarabodesGranulatus",NA,"Carabodes granulatus","Species",86,71,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,740817
"CarabodesLabyrinthicus",NA,"Carabodes labyrinthicus","Species",417,241,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,740826
"CarabodesPolyporetes",NA,"Carabodes polyporetes","Species",29,27,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,740842
"CarabodesWonalancetanus",NA,"Carabodes wonalancetanus","Species",11,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,740861
"CepheusSp1DEW",NA,"Cepheus sp. 1 DEW","Species",325,232,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000007
"CepheusSp2DEW",NA,"Cepheus sp. 2 DEW","Species",46,41,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000008
"CepheusSp2BDEW",NA,"Cepheus sp. 2B DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000010
"CeratoppiaBipilis",NA,"Ceratoppia bipilis","Species",27,23,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,738240
"CeratoppiaQuadridentataArctica",NA,"Ceratoppia quadridentata arctica","Subspecies",579,390,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000064
"CeratozetesBorealis",NA,"Ceratozetes borealis","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741912
"CeratozetesCuspidatus",NA,"Ceratozetes cuspidatus","Species",64,58,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741918
"CeratozetesEnodis",NA,"Ceratozetes enodis","Species",3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741919
"CeratozetesGracilis",NA,"Ceratozetes gracilis","Species",848,401,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,741923
"CeratozetesKananaskis",NA,"Ceratozetes kananaskis","Species",9,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,741928
"CeratozetesMediocris",NA,"Ceratozetes mediocris","Species",27,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,741935
"CeratozetesParvulus",NA,"Ceratozetes parvulus","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741947
"CeratozetesSp2LML",NA,"Ceratozetes sp. 2 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005339
"CeratozetesThienemanni",NA,"Ceratozetes thienemanni","Species",62,49,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,96754950
"ChamobatesCuspidatus",NA,"Chamobates cuspidatus","Species",205,140,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,742151
"ChamobatesSp2DEW",NA,"Chamobates sp. 2 DEW","Species",4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000245
"CyrtozetesSp1DEW",NA,"Cyrtozetes sp. 1 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000079
"DentizetesLedensis",NA,"Dentizetes ledensis","Species",78,65,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,741971
"DentizetesRudentiger",NA,"Dentizetes rudentiger","Species",67,33,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,741972
"DiapterobatesHumeralis",NA,"Diapterobates humeralis","Species",310,249,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,742211
"DiapterobatesSitnikovae",NA,"Diapterobates sitnikovae","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742224
"DiapterobatesVariabilis",NA,"Diapterobates variabilis","Species",3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742227
"DometorinaPlantivaga",NA,"Dometorina plantivaga","Species",14,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,742695
"DorycranosusAcutidens",NA,"Dorycranosus acutidens","Species",68,46,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000150
"DorycranosusParallelus",NA,"Dorycranosus parallelus","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000151
"DorycranosusSp3DEW",NA,"Dorycranosus sp. 3 DEW","Species",19,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000080
"DorycranosusSp4DEW",NA,"Dorycranosus sp. 4 DEW","Species",6,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000081
"DyobelbaSp1DEW",NA,"Dyobelba sp. 1 DEW","Species",45,24,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000082
"DyobelbaSp2DEW",NA,"Dyobelba sp. 2 DEW","Species",6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000246
"EniochthoniusCrosbyi",NA,"Eniochthonius crosbyi","Species",238,161,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000132
"EniochthoniusMahunkai",NA,"Eniochthonius mahunkai","Species",9,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000062
"EniochthoniusMinutissimus",NA,"Eniochthonius minutissimus","Species",39,37,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000133
"EniochthoniusSp1LML",NA,"Eniochthonius sp. 1 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005341
"EobrachychthoniusLatior",NA,"Eobrachychthonius latior","Species",5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,735041
"EpidamaeusArcticola",NA,"Epidamaeus arcticola","Species",84,63,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000141
