"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Amblystegium.serpens",NA,"Amblystegium serpens","Species","AmblystegiumSerpens",99001267,1434,751,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Anastrophyllum.hellerianum",NA,"Anastrophyllum hellerianum","Species","AnastrophyllumHellerianum",99001272,199,137,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Anastrophyllum.minutum",NA,"Anastrophyllum minutum","Species","AnastrophyllumMinutum",99001274,6,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Anastrophyllum.saxicola",NA,"Anastrophyllum saxicola","Species","AnastrophyllumSaxicola",99001275,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Anastrophyllum.sphenoloboides",NA,"Anastrophyllum sphenoloboides","Species","AnastrophyllumSphenoloboides",99003119,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Andreaea.rupestris",NA,"Andreaea rupestris","Species","AndreaeaRupestris",99001278,5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Aneura.pinguis",NA,"Aneura pinguis","Species","AneuraPinguis",99001279,31,28,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Astomum.muhlenbergianum",NA,"Astomum muhlenbergianum","Species","AstomumMuhlenbergianum",99001359,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Atrichum.selwynii",NA,"Atrichum selwynii","Species","AtrichumSelwynii",99001292,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Aulacomnium.androgynum",NA,"Aulacomnium androgynum","Species","AulacomniumAndrogynum",99001295,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Aulacomnium.palustre",NA,"Aulacomnium palustre","Species","AulacomniumPalustre",99001296,1537,727,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Aulacomnium.turgidum",NA,"Aulacomnium turgidum","Species","AulacomniumTurgidum",99001297,8,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Barbilophozia.attenuata",NA,"Barbilophozia attenuata","Species","BarbilophoziaAttenuata",99001298,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Barbilophozia.barbata",NA,"Barbilophozia barbata","Species","BarbilophoziaBarbata",99001299,5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Barbilophozia.hatcheri",NA,"Barbilophozia hatcheri","Species","BarbilophoziaHatcheri",99001302,52,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Barbilophozia.kunzeana",NA,"Barbilophozia kunzeana","Species","BarbilophoziaKunzeana",99001303,42,34,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Barbilophozia.lycopodioides",NA,"Barbilophozia lycopodioides","Species","BarbilophoziaLycopodioides",99001304,7,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Barbilophozia.quadriloba",NA,"Barbilophozia quadriloba","Species","BarbilophoziaQuadriloba",99001305,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Barbula.convoluta",NA,"Barbula convoluta","Species","BarbulaConvoluta",99001307,49,35,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Barbula.unguiculata",NA,"Barbula unguiculata","Species","BarbulaUnguiculata",99001308,50,45,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Blasia.pusilla",NA,"Blasia pusilla","Species","BlasiaPusilla",99001314,16,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Blepharostoma.trichophyllum",NA,"Blepharostoma trichophyllum","Species","BlepharostomaTrichophyllum",99001315,345,230,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Blindia.acuta",NA,"Blindia acuta","Species","BlindiaAcuta",99001316,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Brachythecium.All",NA,"Brachythecium All",NA,"Brachytheciaceae",NA,2358,988,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Bryoerythrophyllum.recurvirostrum",NA,"Bryoerythrophyllum recurvirostrum",NA,NA,NA,39,30,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
