"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Abies.balsamea","Balsam Fir","Abies balsamea","Species","AbiesBalsamea",99004822,368,136,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Abies.bifolia","Subalpine Fir","Abies bifolia","Species","AbiesBifolia",99005272,56,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Acer","Maples","Acer","Genus","Acer",99003784,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Acer.negundo","Manitoba Maple","Acer negundo","Species","AcerNegundo",99003785,25,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Achillea.alpina","Many Flowered Yarrow","Achillea alpina","Species","AchilleaAlpina",99000272,274,136,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Achillea.millefolium","Common Yarrow","Achillea millefolium","Species","AchilleaMillefolium",99004345,2827,932,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Achillea.ptarmica","Sneezeweed","Achillea ptarmica","Species","AchilleaPtarmica",99004346,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Achnatherum.hymenoides","Indian Ricegrass","Achnatherum hymenoides","Species","AchnatherumHymenoides",99003956,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Achnatherum.nelsonii","Dore's Needle Grass","Achnatherum nelsonii","Species","AchnatherumNelsonii",99003960,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Acorus.americanus","Sweet Flag","Acorus americanus","Species","AcorusAmericanus",99004238,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Actaea.rubra","Red and White Baneberry","Actaea rubra","Species","ActaeaRubra",99004747,1021,410,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Adoxa.moschatellina","Moschatel","Adoxa moschatellina","Species","AdoxaMoschatellina",99002744,112,55,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Aegopodium.podagraria","Goutweed","Aegopodium.podagraria","Species","AegopodiumPodagraria",99005402,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Agastache.foeniculum","Giant Hyssop","Agastache foeniculum","Species","AgastacheFoeniculum",99002676,21,15,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Agoseris","False Dandelions","Agoseris","Genus","Agoseris",99004509,11,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Agoseris.glauca","Yellow False Dandelion","Agoseris glauca","Species","AgoserisGlauca",99004511,144,66,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Agrimonia.striata","Agrimony","Agrimonia striata","Species","AgrimoniaStriata",99003585,109,45,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Agroelymus.bowdenii",NA,"Agroelymus bowdenii","Species","AgroelymusBowdenii",99005320,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Agropyron","Crested Wheatgrasses","Agropyron","Genus","Agropyron",99003961,36,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Agropyron.fragile.cristatum","Crested Wheatgrass","Agropyron fragile/cristatum","Species","AgropyronCristatum",99003962,424,160,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Agrostis","Bentgrass","Agrostis","Genus","Agrostis",99003879,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Agrostis.scabra","Rough Hair Grass","Agrostis scabra","Species","AgrostisScabra",99003881,709,290,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Agrostis.stolonifera","Redtop","Agrostis stolonifera","Species","AgrostisStolonifera",99003882,27,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Alisma.triviale","Broad Leaved Water Plantain","Alisma triviale","Species","AlismaTriviale",99002731,28,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Allium.cernuum","Nodding Onion","Allium cernuum","Species","AlliumCernuum",99003839,31,17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Allium.schoenoprasum","Wild Chives","Allium schoenoprasum","Species","AlliumSchoenoprasum",99003840,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Allium.textile","Prairie Onion","Allium textile","Species","AlliumTextile",99003841,55,24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Alnus.incana","River Alder","Alnus incana","Species","AlnusIncana",99003456,729,272,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Alnus.viridis","Green alder","Alnus viridis","Species","AlnusViridis",99005164,1069,360,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Alopecurus","Foxtails","Alopecurus","Genus","Alopecurus",99003974,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Alopecurus.aequalis","Water Foxtail","Alopecurus aequalis","Species","AlopecurusAequalis",99003976,122,59,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Alopecurus.arundinaceus.pratensis","Creeping Meadow Foxtail","Alopecurus arundinaceus/pratensis","Species","AlopecurusArundinaceus",99003196,11,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Alopecurus.carolinianus","Tufted Foxtail","Alopecurus carolinianus","Species","AlopecurusCarolinianus",99005264,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Alopecurus.geniculatus","Marsh Meadow Foxtail","Alopecurus geniculatus","Species","AlopecurusGeniculatus",99003977,11,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Alyssum","Alyssums","Alyssum","Genus","Alyssum",99001974,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Alyssum.alyssoides","Small Alyssum","Alyssum alyssoides","Species","AlyssumAlyssoides",99001975,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Amaranthus","Amaranths","Amaranthus","Genus","Amaranthus",99004261,11,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Amaranthus.albus","Tumbleweed","Amaranthus albus","Species","AmaranthusAlbus",99004262,20,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Amaranthus.blitoides","Matweed Amaranth","Amaranthus blitoides","Species","AmaranthusBlitoides",99004265,22,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Amaranthus.retroflexus","Red Root Pigweed","Amaranthus retroflexus","Species","AmaranthusRetroflexus",99004264,222,82,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Ambrosia","Ragweeds","Ambrosia","Genus","Ambrosia",99004520,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Amelanchier.alnifolia","Saskatoon","Amelanchier alnifolia","Species","AmelanchierAlnifolia",99003587,1197,452,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anaphalis.margaritacea","Pearly Everlasting","Anaphalis margaritacea","Species","AnaphalisMargaritacea",99004524,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Andromeda.polifolia","Bog Rosemary","Andromeda polifolia","Species","AndromedaPolifolia",99004657,253,85,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Androsace.chamaejasme","Sweet Flowered Androsace","Androsace chamaejasme","Species","AndrosaceChamaejasme",99004620,11,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Androsace.occidentalis","Western Fairy Candelabra","Androsace occidentalis","Species","AndrosaceOccidentalis",99004621,54,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Androsace.septentrionalis","Northern Fairy Candelabra","Androsace septentrionalis","Species","AndrosaceSeptentrionalis",99004622,199,78,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone","Anemones","Anemone","Genus","Anemone",99004763,10,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.canadensis","Canada Anemone","Anemone canadensis","Species","AnemoneCanadensis",99004764,245,104,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone.cylindrica","Long-Fruited Anemone","Anemone cylindrica","Species","AnemoneCylindrica",99004771,58,29,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.multifida","Cut Leaved Anemone","Anemone multifida","Species","AnemoneMultifida",99004765,215,81,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone.occidentalis","Western Anemone","Anemone occidentalis","Species","AnemoneOccidentalis",99004766,11,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
